X,Y,Z,Name,FID,Field_1,LINEA,RUTA,SISTEMA
-99.13162436,19.42584364,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.13304867,19.42595578,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.13922418,19.42652107,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14080919,19.42664406,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14096547,19.42666187,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14112932,19.42669043,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14133223,19.42673678,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14153392,19.42679533,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14168014,19.42683586,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14182886,19.42685966,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14218446,19.42690092,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14232434,19.42690918,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14248943,19.42691025,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14269231,19.4269065,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1429078,19.42690873,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14311789,19.42692165,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14572616,19.42716164,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14632101,19.42721089,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14707685,19.42726283,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14724887,19.42727709,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14780878,19.42729938,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14816442,19.42730508,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14827825,19.42729811,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14837688,19.42728623,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.14856644,19.42724062,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1511739,19.42654864,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.15388405,19.4258288,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.15536359,19.42548126,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.16053923,19.42432222,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.16544437,19.42312622,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.16697977,19.42278426,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17032151,19.42201899,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17366918,19.42130931,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17720955,19.42058383,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17757238,19.42050026,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17779158,19.42044553,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17805384,19.42037066,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17831835,19.42028971,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1785073,19.42022676,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17871484,19.42011537,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
