NOMBRE,LINEA,SISTEMA,TIPO,ALCALDIAS,AÑO,CVE_EST,lon,lat,afluencia
Aragón,5,STC Metro,Intermedia,Gustavo A. Madero / Venustiano Carranza,1981,STC0509,-99.09620515,19.45125759,6220.748634
Oceanía,5,STC Metro,Transbordo,Venustiano Carranza,1981,STC0510,-99.08687292,19.44502049,7507.210383
Terminal Aérea,5,STC Metro,Intermedia,Venustiano Carranza,1981,STC0511,-99.08807624,19.4342651,14653.77322
Hangares,5,STC Metro,Intermedia,Venustiano Carranza,1981,STC0512,-99.08813377,19.42434991,4429.185792
El Rosario,6,STC Metro,Terminal / Transbordo,Azcapotzalco,1983,STC0601,-99.19976982,19.50463014,20505.71311
Tezozómoc,6,STC Metro,Intermedia,Azcapotzalco,1983,STC0602,-99.19602299,19.49489516,5096.251366
UAM Azcapotzalco,6,STC Metro,Intermedia,Azcapotzalco,1983,STC0603,-99.18626731,19.49090814,6763.680328
Ferrería/Arena Ciudad de México,6,STC Metro,Intermedia,Azcapotzalco,1983,STC0604,-99.17415168,19.49067343,18256.79235
Norte 45,6,STC Metro,Intermedia,Azcapotzalco,1983,STC0605,-99.16299035,19.48867141,5273.478142
Vallejo,6,STC Metro,Intermedia,Azcapotzalco,1983,STC0606,-99.15600431,19.48984779,6590.513661
Lindavista,6,STC Metro,Intermedia,Gustavo A. Madero,1986,STC0608,-99.13507142,19.48811299,13869.98361
La Villa/Basílica,6,STC Metro,Intermedia,Gustavo A. Madero,1986,STC0610,-99.11836926,19.48173581,10639.75683
Aquiles Serdán,7,STC Metro,Intermedia,Azcapotzalco,1988,STC0702,-99.19535233,19.49064014,11789.71585
Camarones,7,STC Metro,Intermedia,Azcapotzalco,1988,STC0703,-99.19003757,19.47911154,12017.26776
Refinería,7,STC Metro,Intermedia,Azcapotzalco,1988,STC0704,-99.19050553,19.46947289,8776.191257
San Joaquín,7,STC Metro,Intermedia,Miguel Hidalgo,1984,STC0706,-99.19176696,19.44500754,22799.78142
Polanco,7,STC Metro,Intermedia,Miguel Hidalgo,1984,STC0707,-99.19092511,19.43355314,33590.05738
Auditorio,7,STC Metro,Intermedia,Miguel Hidalgo,1984,STC0708,-99.1920289,19.42576383,30935.43443
Constituyentes,7,STC Metro,Intermedia,Miguel Hidalgo,1985,STC0709,-99.19135186,19.41177087,13294.37705
San Pedro de Los Pinos,7,STC Metro,Intermedia,Benito Juárez,1985,STC0711,-99.18580593,19.39149177,10361.18033
San Antonio,7,STC Metro,Intermedia,Benito Juárez,1985,STC0712,-99.18661355,19.38433767,10987.21311
Mixcoac,7,STC Metro,Transbordo,Benito Juárez,1985,STC0713,-99.18758242,19.3762565,15431.24863
Barranca del Muerto,7,STC Metro,Terminal,Álvaro Obregón,1985,STC0714,-99.18926371,19.36150156,31521.29781
Garibaldi/Lagunilla,8,STC Metro,Terminal / Transbordo,Cuauhtémoc,1994,STC0801,-99.13900441,19.44400129,11466.96448
San Juan de Letrán,8,STC Metro,Intermedia,Cuauhtémoc,1994,STC0803,-99.14125061,19.43158045,22127.39344
Doctores,8,STC Metro,Intermedia,Cuauhtémoc,1994,STC0805,-99.14318941,19.42154561,9788.434426
Obrera,8,STC Metro,Intermedia,Cuauhtémoc,1994,STC0806,-99.14403796,19.41324038,11273.72678
La Viga,8,STC Metro,Intermedia,Cuauhtémoc / Venustiano Carranza,1994,STC0808,-99.12626906,19.40670943,6291.773224
Coyuya,8,STC Metro,Intermedia,Iztacalco,1994,STC0810,-99.11348043,19.3983029,23583.46721
Iztacalco,8,STC Metro,Intermedia,Iztacalco,1994,STC0811,-99.11211173,19.38828876,15320.88798
Apatlaco,8,STC Metro,Intermedia,Iztapalapa,1994,STC0812,-99.10949015,19.37909981,11223.65301
Aculco,8,STC Metro,Intermedia,Iztapalapa,1994,STC0813,-99.10770359,19.37321141,7563.31694
Escuadrón 201,8,STC Metro,Intermedia,Iztapalapa,1994,STC0814,-99.10948498,19.36483641,17902.43443
Atlalilco,8,STC Metro,Transbordo,Iztapalapa,1994,STC0815,-99.10130943,19.35608448,12286.79781
Iztapalapa,8,STC Metro,Intermedia,Iztapalapa,1994,STC0816,-99.09344908,19.35782494,9255.937158
Cerro de la Estrella,8,STC Metro,Intermedia,Iztapalapa,1994,STC0817,-99.08561608,19.35604787,9898.745902
UAM-I,8,STC Metro,Intermedia,Iztapalapa,1994,STC0818,-99.07481742,19.35105617,21025.97541
Constitución de 1917,8,STC Metro,Terminal,Iztapalapa,1994,STC0819,-99.06379885,19.34596841,91788.11202
Puebla,9,STC Metro,Intermedia,Venustiano Carranza / Iztacalco,1987,STC0902,-99.08238588,19.40719214,25537.82787
Ciudad Deportiva,9,STC Metro,Intermedia,Venustiano Carranza / Iztacalco,1987,STC0903,-99.09125195,19.40843398,6205.868852
Velódromo,9,STC Metro,Intermedia,Venustiano Carranza,1987,STC0904,-99.10315771,19.40853929,7926.254098
Mixhiuca,9,STC Metro,Intermedia,Venustiano Carranza,1987,STC0905,-99.11296848,19.40837144,19365.24317
Lázaro Cárdenas,9,STC Metro,Intermedia,Cuauhtémoc,1987,STC0908,-99.14462826,19.40721827,10539.67213
Chilpancingo,9,STC Metro,Intermedia,Cuauhtémoc,1988,STC0910,-99.16851936,19.40592986,36846.78689
Patriotismo,9,STC Metro,Intermedia,Cuauhtémoc / Miguel Hidalgo,1988,STC0911,-99.1789226,19.40610899,16327.56557
Tláhuac,12,STC Metro,Terminal,Tláhuac,2012,STC1201,-99.01419832,19.28602228,53161.19672
Tlaltenco,12,STC Metro,Intermedia,Tláhuac,2012,STC1202,-99.02403075,19.29435338,4632.942623
Zapotitlán,12,STC Metro,Intermedia,Tláhuac,2012,STC1203,-99.03430689,19.29665559,11827.79235
Nopalera,12,STC Metro,Intermedia,Tláhuac,2012,STC1204,-99.04599287,19.2999573,21368.67213
Olivos,12,STC Metro,Intermedia,Tláhuac,2012,STC1205,-99.0595115,19.304322,14553.95082
Tezonco,12,STC Metro,Intermedia,Iztapalapa,2012,STC1206,-99.06527026,19.30630883,20462.84426
Periferico Oriente,12,STC Metro,Intermedia,Iztapalapa,2012,STC1207,-99.07450575,19.31761157,30801.5765
Calle 11,12,STC Metro,Intermedia,Iztapalapa,2012,STC1208,-99.08587286,19.32047115,11692.79235
Lomas Estrella,12,STC Metro,Intermedia,Iztapalapa,2012,STC1209,-99.09575048,19.32214886,8548.489071
San Andres Tomatlán,12,STC Metro,Intermedia,Iztapalapa,2012,STC1210,-99.10451586,19.32814548,9423.428962
Culhuacán,12,STC Metro,Intermedia,Iztapalapa,2012,STC1211,-99.10895875,19.33684561,14882.46721
Mexicaltzingo,12,STC Metro,Intermedia,Iztapalapa / Coyoacán,2012,STC1213,-99.12314323,19.35776254,15060.42077
Eje Central,12,STC Metro,Intermedia,Benito Juárez,2012,STC1215,-99.15142336,19.36134124,10682.89071
Parque de los Venados,12,STC Metro,Intermedia,Benito Juárez,2012,STC1216,-99.15871772,19.37065883,9517.647541
Hospital 20 de Noviembre,12,STC Metro,Intermedia,Benito Juárez,2012,STC1218,-99.17088446,19.37201338,9549.02459
Insurgentes Sur,12,STC Metro,Intermedia,Benito Juárez,2012,STC1219,-99.17825013,19.37355347,31225.59016
Agrícola Oriental,A,STC Metro,Intermedia,Iztacalco,1991,STCLA02,-99.06956646,19.4046189,10126.97814
Canal de San Juan,A,STC Metro,Intermedia,Iztacalco,1991,STCLA03,-99.0594228,19.39876293,11139.49727
Tepalcates,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA04,-99.0463294,19.39127649,23186.69126
Guelatao,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA05,-99.0356596,19.38515389,17344.31694
Peñón Viejo,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA06,-99.01705484,19.37330505,11538.39344
Acatitla,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA07,-99.00567272,19.36471739,13782.69945
Santa Marta,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA08,-98.99517832,19.36030505,35274.49454
Los Reyes,A,STC Metro,Intermedia,Estado de México - La Paz,1991,STCLA09,-98.97686678,19.35903746,18697.79508
La Paz,A,STC Metro,Terminal,Estado de México - La Paz,1991,STCLA10,-98.96093725,19.35056157,39358.40437
Buenavista,B,STC Metro,Terminal,Cuauhtémoc,1999,STCLB01,-99.15235138,19.4461859,47484.99454
Lagunilla,B,STC Metro,Intermedia,Cuauhtémoc,1999,STCLB04,-99.13023043,19.44322004,18162.3306
Tepito,B,STC Metro,Intermedia,Cuauhtémoc,1999,STCLB05,-99.12406744,19.44278939,18773.15847
Ricardo Flores Magón,B,STC Metro,Intermedia,Venustiano Carranza,1999,STCLB08,-99.10370874,19.43656537,5705.535519
Romero Rubio,B,STC Metro,Intermedia,Venustiano Carranza,1999,STCLB09,-99.09420167,19.44083535,13963.64754
Deportivo Oceanía,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB11,-99.07933423,19.4510111,12058.56557
Bosque de Aragón,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB12,-99.0692887,19.45809477,5257.811475
Villa de Aragón,B,STC Metro,Intermedia,Gustavo A. Madero,1999,STCLB13,-99.06138197,19.46167079,12712.3224
Nezahualcóyotl,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB14,-99.05461334,19.47288563,18197.24317
Impulsora,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB15,-99.04895716,19.48575322,19705.58197
Río de los Remedios,B,STC Metro,Intermedia,Estado de México - Nezahualcóyotl,2000,STCLB16,-99.04678664,19.49068868,15057.39617
Múzquiz,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB17,-99.0420672,19.50149033,23896.75137
Ecatepec,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB18,-99.03606934,19.51512508,21429.61475
Olímpica,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB19,-99.03334249,19.52134493,14627.34153
Plaza Aragón,B,STC Metro,Intermedia,Estado de México - Ecatepec,2000,STCLB20,-99.03018455,19.52847589,15736.04645
Ciudad Azteca,B,STC Metro,Terminal,Estado de México - Ecatepec,2000,STCLB21,-99.02750972,19.53451307,41153.24317
